OrderID,Date,Region,Product,Quantity,Price,Category
1,2024-01-01,East,Tablet,1.0,30000.0,Electronics
2,2024-01-02,north,Tablet,1.0,30000.0,Electronics
3,2024-01-03,north,Shoes,6.0,3000.0,Fashion
4,2024-01-04,East,Shoes,5.0,3000.0,Fashion
5,2024-01-05,West,Laptop,7.0,,Electronics
6,2024-01-06,south,Jacket,1.0,4000.0,Fashion
7,2024-01-07,north,Tablet,6.0,30000.0,Electronics
8,2024-01-08,West,Tablet,1.0,30000.0,Electronics
9,2024-01-09,south,Watch,6.0,5000.0,Fashion
10,2024-01-10,north,Mobile,1.0,20000.0,Electronics
11,2024-01-11,West,Tablet,7.0,,Electronics
12,2024-01-12,East,Tablet,2.0,30000.0,Electronics
13,2024-01-13,West,Tablet,8.0,30000.0,Electronics
14,2024-01-14,north,Jacket,,4000.0,Fashion
15,2024-01-15,East,Watch,3.0,5000.0,Fashion
16,2024-01-16,East,Jacket,1.0,4000.0,Fashion
17,2024-01-17,north,Tablet,7.0,,Electronics
18,2024-01-18,East,Laptop,9.0,55000.0,Electronics
19,2024-01-19,East,Laptop,,55000.0,Electronics
20,2024-01-20,East,Tablet,6.0,30000.0,Electronics
21,2024-01-21,East,Shoes,6.0,3000.0,Fashion
22,2024-01-22,East,Laptop,5.0,55000.0,Electronics
23,2024-01-23,north,Mobile,3.0,20000.0,Electronics
24,2024-01-24,north,Laptop,0.0,55000.0,Electronics
25,2024-01-25,West,Laptop,3.0,55000.0,Electronics
26,2024-01-26,East,Mobile,5.0,20000.0,Electronics
27,2024-01-27,West,Shoes,2.0,3000.0,Fashion
28,2024-01-28,East,Watch,9.0,5000.0,Fashion
29,2024-01-29,north,Mobile,5.0,-1000.0,Electronics
30,2024-01-30,West,Tablet,1.0,0.0,Electronics
31,2024-01-31,south,Shoes,9.0,3000.0,Fashion
32,2024-02-01,West,Laptop,1.0,55000.0,Electronics
33,2024-02-02,,Laptop,8.0,55000.0,Electronics
34,2024-02-03,East,Mobile,8.0,20000.0,Electronics
35,2024-02-04,East,Laptop,9.0,55000.0,Electronics
36,2024-02-05,West,Jacket,4.0,,Fashion
37,2024-02-06,East,Watch,8.0,5000.0,Fashion
38,2024-02-07,south,Shoes,5.0,3000.0,Fashion
39,2024-02-08,north,Mobile,0.0,-1000.0,Electronics
40,2024-02-09,East,Laptop,1.0,55000.0,Electronics
41,2024-02-10,north,Shoes,,3000.0,Fashion
42,2024-02-11,,Watch,7.0,5000.0,Fashion
43,2024-02-12,West,Tablet,7.0,30000.0,Electronics
44,2024-02-13,East,Tablet,5.0,30000.0,Electronics
45,2024-02-14,north,Laptop,8.0,55000.0,Electronics
46,2024-02-15,West,Watch,5.0,5000.0,Fashion
47,2024-02-16,north,Watch,2.0,5000.0,Fashion
48,2024-02-17,north,Shoes,5.0,3000.0,Fashion
49,2024-02-18,West,Mobile,7.0,20000.0,Electronics
50,2024-02-19,East,Tablet,3.0,30000.0,Electronics
51,2024-02-20,West,Jacket,8.0,4000.0,Fashion
52,2024-02-21,north,Laptop,3.0,55000.0,Electronics
53,2024-02-22,north,Jacket,3.0,,Fashion
54,2024-02-23,north,Shoes,2.0,3000.0,Fashion
55,2024-02-24,north,Laptop,3.0,55000.0,Electronics
56,2024-02-25,West,Shoes,9.0,3000.0,Fashion
57,2024-02-26,West,Laptop,6.0,55000.0,Electronics
58,2024-02-27,north,Mobile,,20000.0,Electronics
59,2024-02-28,West,Jacket,1.0,4000.0,Fashion
60,2024-02-29,south,Shoes,1.0,3000.0,Fashion
61,2024-03-01,south,Watch,1.0,-1000.0,Fashion
62,2024-03-02,West,Watch,1.0,5000.0,Fashion
63,2024-03-03,south,Shoes,2.0,3000.0,Fashion
64,2024-03-04,south,Mobile,3.0,20000.0,Electronics
65,2024-03-05,north,Mobile,8.0,20000.0,Electronics
66,2024-03-06,north,Jacket,1.0,4000.0,Fashion
67,2024-03-07,north,Jacket,9.0,4000.0,Fashion
68,2024-03-08,West,Mobile,1.0,20000.0,Electronics
69,2024-03-09,south,Tablet,3.0,30000.0,Electronics
70,2024-03-10,West,Shoes,6.0,3000.0,Fashion
71,2024-03-11,West,Tablet,3.0,30000.0,Electronics
72,2024-03-12,south,Watch,7.0,5000.0,Fashion
73,2024-03-13,north,Mobile,0.0,20000.0,Electronics
74,2024-03-14,East,Laptop,2.0,55000.0,Electronics
75,2024-03-15,north,Tablet,4.0,30000.0,Electronics
76,2024-03-16,north,Shoes,2.0,3000.0,Fashion
77,2024-03-17,West,Laptop,1.0,55000.0,Electronics
78,2024-03-18,north,Shoes,5.0,3000.0,Fashion
79,2024-03-19,south,Mobile,,20000.0,Electronics
